id,team,rolling_5_form
1082605,Delhi Capitals,0.4
1082608,Delhi Capitals,0.6
1082611,Delhi Capitals,0.4
1082614,Delhi Capitals,0.4
1082622,Delhi Capitals,0.4
1082626,Delhi Capitals,0.2
1082630,Delhi Capitals,0.0
1082632,Delhi Capitals,0.2
1082635,Delhi Capitals,0.4
1082640,Delhi Capitals,0.4
1082642,Delhi Capitals,0.6
1082646,Delhi Capitals,0.8
1136562,Delhi Capitals,0.6
1136566,Delhi Capitals,0.4
1136569,Delhi Capitals,0.4
1136573,Delhi Capitals,0.4
1136579,Delhi Capitals,0.2
1136582,Delhi Capitals,0.2
1136586,Delhi Capitals,0.2
1136590,Delhi Capitals,0.4
1136592,Delhi Capitals,0.2
1136596,Delhi Capitals,0.4
1136602,Delhi Capitals,0.4
1136605,Delhi Capitals,0.4
1136612,Delhi Capitals,0.2
1136615,Delhi Capitals,0.4
1175358,Delhi Capitals,0.4
1175360,Delhi Capitals,0.6
1175365,Delhi Capitals,0.6
1175368,Delhi Capitals,0.8
1175371,Delhi Capitals,0.6
1178395,Delhi Capitals,0.4
1178401,Delhi Capitals,0.4
1178405,Delhi Capitals,0.6
1178409,Delhi Capitals,0.6
1178412,Delhi Capitals,0.6
1178415,Delhi Capitals,0.8
1178421,Delhi Capitals,0.8
1178425,Delhi Capitals,0.8
1178428,Delhi Capitals,0.6
1181766,Delhi Capitals,0.8
1181767,Delhi Capitals,0.8
1216493,Delhi Capitals,0.6
1216539,Delhi Capitals,0.6
1216532,Delhi Capitals,0.8
1216515,Delhi Capitals,0.6
1216519,Delhi Capitals,0.6
1216500,Delhi Capitals,0.8
1216529,Delhi Capitals,0.8
1216543,Delhi Capitals,0.6
1216509,Delhi Capitals,0.8
1216546,Delhi Capitals,0.8
1216497,Delhi Capitals,0.6
1216524,Delhi Capitals,0.4
1216535,Delhi Capitals,0.4
1216505,Delhi Capitals,0.2
1237177,Delhi Capitals,0.2
1237180,Delhi Capitals,0.2
1237181,Delhi Capitals,0.4
1254059,Delhi Capitals,0.4
1254064,Delhi Capitals,0.6
1254068,Delhi Capitals,0.4
1254070,Delhi Capitals,0.6
1254077,Delhi Capitals,0.6
1254079,Delhi Capitals,0.8
1254082,Delhi Capitals,0.6
1254086,Delhi Capitals,0.8
1254105,Delhi Capitals,0.8
1254097,Delhi Capitals,0.8
1254092,Delhi Capitals,0.8
1254112,Delhi Capitals,0.8
1254110,Delhi Capitals,0.8
1254101,Delhi Capitals,0.8
1254114,Delhi Capitals,0.6
1254116,Delhi Capitals,0.4
1304048,Delhi Capitals,0.4
1304056,Delhi Capitals,0.4
1304061,Delhi Capitals,0.2
1304065,Delhi Capitals,0.2
1304073,Delhi Capitals,0.4
1304078,Delhi Capitals,0.4
1304080,Delhi Capitals,0.4
1304087,Delhi Capitals,0.4
1304091,Delhi Capitals,0.6
1304096,Delhi Capitals,0.4
1304101,Delhi Capitals,0.6
1304104,Delhi Capitals,0.4
1304110,Delhi Capitals,0.6
1304115,Delhi Capitals,0.6
1359477,Delhi Capitals,0.6
1359481,Delhi Capitals,0.4
1359485,Delhi Capitals,0.4
1359490,Delhi Capitals,0.2
1359494,Delhi Capitals,0.0
1359502,Delhi Capitals,0.0
1359508,Delhi Capitals,0.2
1359514,Delhi Capitals,0.4
1359518,Delhi Capitals,0.4
1359524,Delhi Capitals,0.6
1359529,Delhi Capitals,0.8
1359533,Delhi Capitals,0.6
1359538,Delhi Capitals,0.4
1359541,Delhi Capitals,0.6
1422120,Delhi Capitals,0.4
1422127,Delhi Capitals,0.2
1422131,Delhi Capitals,0.2
1422134,Delhi Capitals,0.4
1422138,Delhi Capitals,0.2
1426264,Delhi Capitals,0.2
1426270,Delhi Capitals,0.4
1426273,Delhi Capitals,0.6
1426278,Delhi Capitals,0.4
1426281,Delhi Capitals,0.6
1426285,Delhi Capitals,0.8
1426294,Delhi Capitals,0.6
1426300,Delhi Capitals,0.6
1426302,Delhi Capitals,0.6
980905,Gujarat Titans,0.5
980911,Gujarat Titans,1.0
